pair;anger;fear;joy;sadness;positive;negative
Svevo Livia;21;7;36;36;36;64
Svevo Livia;0;8;33;58;50;50
Svevo Livia;7;0;47;47;40;60
Svevo Livia;0;0;50;50;25;75
Svevo Livia;8;4;48;40;48;52
Svevo Livia;21;0;24;55;33;67
Svevo Livia;26;4;33;37;26;74
Svevo Livia;11;5;42;42;32;68
Svevo Livia;19;0;27;54;32;68
Svevo Livia;16;2;18;65;23;77
Svevo Livia;20;3;43;33;33;67
Svevo Livia;20;4;36;40;40;60
Svevo Livia;33;0;33;33;44;56
Svevo Livia;8;0;38;54;35;65
Svevo Livia;11;0;56;33;56;44
Svevo Livia;7;7;33;53;30;70
Svevo Livia;24;3;27;45;36;64
Svevo Livia;11;11;34;45;29;71
Svevo Livia;8;0;33;58;36;64
Svevo Livia;12;6;35;47;29;71
Svevo Livia;4;4;48;43;61;39
Svevo Livia;19;0;31;50;44;56
Svevo Livia;0;5;29;67;29;71
Svevo Livia;16;4;40;40;48;52
Svevo Livia;6;3;31;61;31;69
Svevo Livia;14;5;43;38;33;67
Svevo Livia;15;8;19;58;23;77
Svevo Livia;16;4;36;44;36;64
Svevo Livia;12;0;56;32;52;48
Svevo Livia;8;4;16;72;20;80
Svevo Livia;10;0;38;52;41;59
Svevo Livia;11;0;37;52;37;63
Svevo Livia;0;0;83;17;83;17
Svevo Livia;0;0;67;33;33;67
Svevo Livia;0;0;67;33;33;67
Svevo Livia;11;11;22;56;11;89
Svevo Livia;0;17;50;33;33;67
Svevo Livia;20;0;20;60;20;80
Svevo Livia;0;0;50;50;67;33
Svevo Livia;10;0;30;60;50;50
Svevo Livia;20;7;47;27;53;47
Svevo Livia;33;4;17;46;21;79
Svevo Livia;25;12;38;25;25;75
Svevo Livia;0;0;60;40;60;40
Svevo Livia;0;11;56;33;56;44
Svevo Livia;9;0;36;55;45;55
Svevo Livia;15;0;46;38;31;69
Svevo Livia;11;22;22;44;33;67
Svevo Livia;8;8;46;38;62;38
Svevo Livia;0;0;50;50;25;75
Svevo Livia;9;0;27;64;18;82
Svevo Livia;11;0;44;44;33;67
Svevo Livia;9;0;55;36;55;45
Svevo Livia;23;0;31;46;31;69
Svevo Livia;10;10;24;57;48;52
Svevo Livia;8;0;33;58;25;75
Svevo Livia;20;0;30;50;30;70
Svevo Livia;16;5;32;47;16;84
Svevo Livia;14;7;43;36;43;57
Svevo Livia;0;0;60;40;40;60
Svevo Livia;8;0;15;77;15;85
Svevo Livia;12;12;50;25;38;62
Svevo Livia;22;6;56;17;50;50
Svevo Livia;24;6;12;59;24;76
Svevo Livia;13;4;39;43;35;65
Svevo Livia;6;11;22;61;39;61
Svevo Livia;12;6;31;50;38;62
Svevo Livia;18;0;27;55;36;64
Svevo Livia;10;0;31;60;33;67
Svevo Livia;7;7;21;64;14;86
Svevo Livia;16;0;47;37;42;58
Svevo Livia;0;0;36;64;36;64
Svevo Livia;0;0;56;44;56;44
Svevo Livia;14;0;36;50;57;43
Svevo Livia;20;8;20;52;20;80
Svevo Livia;15;2;32;51;51;49
Svevo Livia;16;5;22;57;38;62
Svevo Livia;0;0;46;54;50;50
Svevo Livia;25;3;28;44;25;75
Svevo Livia;15;6;29;50;24;76
Svevo Livia;11;5;21;63;37;63
Svevo Livia;8;0;34;58;47;53
Svevo Livia;16;5;21;58;21;79
Svevo Livia;21;5;32;42;31;69
Svevo Livia;0;4;33;62;25;75
Svevo Livia;13;0;53;33;53;47
Svevo Livia;7;0;53;40;53;47
Svevo Livia;10;0;40;50;40;60
Svevo Livia;0;12;29;59;47;53
Svevo Livia;3;3;44;50;44;56
Svevo Livia;19;0;42;38;35;65
Svevo Livia;13;0;43;43;43;57
Svevo Livia;19;5;26;50;26;74
Svevo Livia;23;6;39;32;32;68
Svevo Livia;21;3;30;45;33;67
Svevo Livia;0;0;57;43;43;57
Svevo Livia;5;4;35;56;36;64
Svevo Livia;10;8;38;45;35;65
Svevo Livia;26;0;21;53;37;63
Svevo Livia;13;6;26;55;26;74
Svevo Livia;17;3;36;44;44;56
Svevo Livia;19;5;38;38;38;62
Svevo Livia;10;5;32;54;32;68
Svevo Livia;18;9;36;36;27;73
Svevo Livia;8;15;31;46;31;69
Svevo Livia;20;0;30;50;20;80
Svevo Livia;12;0;53;35;41;59
Svevo Livia;29;6;24;41;24;76
Svevo Livia;7;0;47;47;47;53
Svevo Livia;8;8;54;31;38;62
Svevo Livia;36;0;36;27;36;64
Svevo Livia;0;0;57;43;43;57
Svevo Livia;9;0;45;45;45;55
Svevo Livia;0;0;33;67;56;44
Svevo Livia;25;8;42;25;42;58
Svevo Livia;25;6;44;25;44;56
Svevo Livia;22;9;26;43;35;65
Svevo Livia;0;0;43;57;43;57
Svevo Livia;21;14;29;36;21;79
Svevo Livia;20;10;40;30;20;80
Svevo Livia;27;4;27;42;50;50
Svevo Livia;41;6;31;22;47;53
Svevo Livia;8;8;38;46;69;31
Svevo Livia;18;0;36;45;27;73
Svevo Livia;0;0;75;25;50;50
Svevo Livia;12;6;50;31;44;56
Svevo Livia;23;0;31;46;31;69
Svevo Livia;33;11;22;33;22;78
Svevo Livia;25;0;31;44;38;62
Svevo Livia;6;0;31;62;19;81
Svevo Livia;17;0;42;42;50;50
Svevo Livia;13;7;33;47;20;80
Svevo Livia;0;0;44;56;22;78
Svevo Livia;25;0;36;39;39;61
Svevo Livia;3;9;21;68;50;50
Svevo Livia;22;3;19;57;30;70
Svevo Livia;17;9;22;52;22;78
Svevo Livia;17;3;36;45;41;59
Svevo Livia;15;3;45;36;48;52
Svevo Livia;18;5;37;39;37;63
Svevo Livia;11;6;28;56;44;56
Svevo Livia;15;24;38;24;38;62
Svevo Livia;9;9;27;55;36;64
Svevo Livia;15;6;44;35;38;62
Svevo Livia;8;4;19;69;31;69
Svevo Livia;8;8;24;60;28;72
Svevo Livia;0;0;100;0;100;0
Svevo Livia;8;0;42;50;42;58
Svevo Livia;10;0;43;47;43;57
Svevo Livia;10;0;48;43;43;57
Svevo Livia;5;9;27;59;32;68
Svevo Livia;0;0;29;71;36;64
Svevo Livia;0;9;45;45;55;45
Svevo Livia;0;10;50;40;50;50
Svevo Livia;21;0;43;36;43;57
Svevo Livia;6;3;40;51;43;57
Svevo Livia;4;4;26;65;43;57
Svevo Livia;9;0;36;55;18;82
Svevo Livia;18;0;36;45;27;73
Svevo Livia;13;4;35;48;39;61
Svevo Livia;11;0;29;61;25;75
Svevo Livia;14;5;33;48;38;62
Svevo Livia;14;3;24;59;21;79
Svevo Livia;8;8;23;62;23;77
Svevo Livia;5;5;42;47;47;53
Svevo Livia;10;5;35;50;35;65
Svevo Livia;14;0;29;57;29;71
Svevo Livia;5;0;53;42;63;37
Svevo Livia;20;0;20;60;35;65
Svevo Livia;36;0;36;27;27;73
Svevo Livia;13;7;40;40;40;60
Svevo Livia;10;5;20;65;20;80
Svevo Livia;0;0;44;56;33;67
Svevo Livia;0;0;39;61;39;61
Svevo Livia;21;7;29;43;43;57
Svevo Livia;15;0;38;46;31;69
Svevo Livia;19;0;25;56;25;75
Svevo Livia;19;5;29;48;19;81
Svevo Livia;26;5;37;32;37;63
Svevo Livia;3;3;28;66;45;55
Svevo Livia;11;0;39;50;33;67
Svevo Livia;11;8;27;54;38;62
Svevo Livia;23;0;36;41;41;59
Svevo Livia;13;7;31;49;36;64
Svevo Livia;24;4;28;44;32;68
Svevo Livia;15;12;35;38;46;54
Svevo Livia;14;0;36;50;32;68
Svevo Livia;12;0;31;56;34;66
Svevo Livia;13;5;29;53;39;61
Svevo Livia;24;2;16;57;29;71
Svevo Livia;6;3;27;64;27;73
Svevo Livia;8;4;40;48;52;48
Svevo Livia;15;0;29;56;44;56
Svevo Livia;21;0;29;50;39;61
Svevo Livia;16;0;38;47;50;50
Svevo Livia;11;6;44;39;39;61
Svevo Livia;19;0;19;62;42;58
Svevo Livia;9;9;55;27;36;64
Svevo Livia;0;0;33;67;39;61
Svevo Livia;18;6;12;65;18;82
Svevo Livia;30;4;26;41;26;74
Svevo Livia;7;0;36;57;43;57
Svevo Livia;50;0;50;0;0;100
Svevo Livia;32;0;16;52;13;87
Svevo Livia;8;0;42;50;42;58
Svevo Livia;21;8;29;42;29;71
Svevo Livia;22;4;26;48;39;61
Svevo Livia;11;0;33;56;33;67
Svevo Livia;23;8;31;38;31;69
Svevo Livia;0;8;38;54;54;46
Svevo Livia;0;0;56;44;56;44
Svevo Livia;16;0;63;21;58;42
Svevo Livia;19;4;44;33;56;44
Svevo Livia;0;0;45;55;45;55
Svevo Livia;16;16;42;26;32;68
Svevo Livia;10;14;16;59;14;86
Svevo Livia;22;16;11;51;14;86
Svevo Livia;18;6;29;47;29;71
Svevo Livia;26;11;9;55;17;83
Svevo Livia;33;13;13;41;22;78
Svevo Livia;20;11;25;43;27;73
Svevo Livia;17;10;17;56;27;73
Svevo Livia;28;12;24;36;32;68
Svevo Livia;12;0;41;47;47;53
Svevo Livia;7;7;21;64;36;64
Svevo Livia;20;0;35;45;40;60
Svevo Livia;11;17;28;44;33;67
Svevo Livia;11;0;16;74;16;84
Svevo Livia;20;10;30;40;40;60
Svevo Livia;0;0;28;72;33;67
Svevo Livia;21;0;21;59;28;72
Svevo Livia;13;4;30;52;26;74
Svevo Livia;22;4;35;39;35;65
Svevo Livia;0;8;62;31;62;38
Svevo Livia;15;6;12;68;18;82
Svevo Livia;9;0;36;55;32;68
Svevo Livia;24;5;24;48;33;67
Svevo Livia;13;0;26;61;26;74
Svevo Livia;14;0;32;55;36;64
Svevo Livia;14;10;28;48;34;66
Svevo Livia;14;0;29;57;36;64
Svevo Livia;9;4;52;35;57;43
Svevo Livia;18;6;27;48;33;67
Svevo Livia;9;0;41;50;41;59
Svevo Livia;11;3;56;31;56;44
