year;anger;fear;joy;sadness;positive;negative
1911;14;10;28;48;34;66
1911;14;0;29;57;36;64
1911;9;4;52;35;57;43
1911;18;6;27;48;33;67
1912;9;0;41;50;41;59
1912;11;3;56;31;56;44
1912;13;2;36;49;49;51
1912;21;15;30;33;45;55
1912;10;0;45;45;40;60
1912;22;4;22;52;26;74
1912;10;0;19;71;26;74
1912;17;3;29;51;29;71
1912;27;0;27;45;45;55
1912;18;0;55;27;55;45
1912;12;12;50;25;50;50
1912;7;14;57;21;36;64
1913;0;17;58;25;50;50
1913;0;6;25;69;38;62
1913;0;0;43;57;43;57
1913;11;5;21;63;37;63
1913;0;0;60;40;40;60
1913;31;0;19;50;19;81
1913;20;6;23;51;26;74
1913;12;0;38;50;38;62
1913;20;10;40;30;30;70
1913;12;0;50;38;62;38
1913;31;0;38;31;38;62
1913;9;0;36;55;45;55
1913;23;8;31;38;15;85
1913;29;7;36;29;36;64
1913;15;8;31;46;31;69
1913;26;16;21;37;32;68
1913;18;0;36;45;36;64
1913;8;8;26;59;18;82
1913;16;16;29;40;31;69
1913;7;7;33;53;33;67
1913;12;0;29;59;35;65
1913;0;0;44;56;44;56
1913;14;8;30;49;32;68
1913;23;13;20;43;23;77
1913;19;12;25;44;38;62
1913;20;13;13;53;27;73
1913;0;0;60;40;40;60
1913;0;0;33;67;67;33
1913;17;4;39;39;39;61
1913;22;0;47;31;47;53
1913;22;9;34;34;44;56
1913;9;4;57;30;48;52
1913;7;10;38;45;48;52
1913;17;6;40;37;54;46
1913;20;7;27;47;30;70
1913;20;20;20;40;0;100
1913;0;0;50;50;25;75
1913;9;9;48;35;52;48
1913;12;12;38;38;41;59
1913;4;4;61;30;48;52
1913;0;0;40;60;40;60
1913;13;5;28;54;38;62
1913;6;17;39;39;39;61
1913;21;7;21;50;21;79
1913;12;10;25;54;32;68
1913;17;2;29;53;36;64
1913;19;0;38;44;50;50
1913;9;0;45;45;55;45
1913;12;0;25;62;0;100
1913;10;0;29;62;38;62
1913;8;8;31;54;46;54
1913;29;0;21;50;36;64
1913;12;0;33;54;38;62
1913;7;7;37;50;43;57
1913;17;0;26;57;35;65
1913;18;8;26;48;36;64
1913;14;7;25;54;32;68
1913;8;0;46;46;46;54
1913;6;12;25;56;31;69
1913;10;0;20;70;25;75
1913;5;5;42;47;42;58
1913;10;10;30;50;30;70
1913;24;0;24;53;35;65
1913;8;0;50;42;42;58
1913;0;0;38;62;46;54
1913;6;0;31;62;38;62
1913;0;0;57;43;43;57
1913;11;0;53;37;53;47
1913;14;0;43;43;50;50
1914;0;10;20;70;10;90
1914;26;5;26;42;37;63
1914;8;0;69;23;46;54
1914;0;0;45;55;45;55
1914;13;0;33;53;33;67
1914;15;20;20;45;20;80
1914;20;3;23;53;30;70
1914;32;5;18;45;18;82
1914;0;0;43;57;64;36
1915;24;0;39;36;42;58
1915;17;0;50;33;50;50
1915;12;12;38;38;38;62
1915;13;7;37;43;40;60
1915;7;4;33;56;37;63
1918;0;0;44;56;33;67
1918;29;7;7;57;21;79
1918;24;0;35;41;35;65
1919;12;0;18;71;29;71
1921;26;11;30;33;30;70
1921;6;0;41;53;41;59
1922;10;0;52;38;57;43
1922;0;0;25;75;38;62
1922;23;4;35;38;35;65
1922;22;7;30;41;30;70
1922;12;4;33;50;33;67
1922;15;0;30;56;37;63
1922;20;7;24;49;20;80
1922;16;6;16;63;14;86
1922;7;0;41;52;41;59
1922;19;8;33;39;42;58
1922;22;22;39;17;33;67
1922;8;0;69;23;69;31
1923;8;0;50;42;50;50
1924;9;4;48;39;57;43
1924;21;7;36;36;57;43
1924;0;0;57;43;71;29
1924;5;0;62;33;57;43
1924;0;0;100;0;100;0
1924;35;9;24;32;24;76
1924;20;8;24;47;39;61
